取得日,コード,銘柄名,市場,現在値,前日比(%),PBR(株価純資産倍率)(倍),PER(株価収益率)(倍),ROE(自己資本利益率)(%),海外売上高比率(%),経常利益変化率(%) - 前年度比,自己資本比率(%),財務,配当利回り(%),EPS(予)(一株あたり当期利益)(円),PEG(予)(倍),業績予想修正率(予)(%),経常利益変化率(予)(%) - 1年前,過去3年平均売上高成長率(予)(%)
2026-08-20,4432,ウイングアーク１ｓｔ,東P,"3,320",+90.0 (+2.79%) ,2.45,17.70,14.6,0.00,10.10,63.95,(連),3.13,219.83,0.88,0.93,3.17,9.47
2026-08-20,4433,ヒト・コミュニケーションズＨＤ,東P,909,+2.0 (+0.22%) ,0.98,18.99,4.9,0.00,63.02,42.56,(連),4.07,14.00,-0.92,-57.14,-63.64,3.32
2026-08-20,4434,サーバーワークス,東S,"2,519",+104.0 (+4.31%) ,,,,,,,,,143.40,-0.06,17.24,21.43,19.73
2026-08-20,4436,ミンカブ・ジ・インフォノイド,東G,421,0.0 (0.00%) ,4.48,8.64,84.7,0.00,120.67,14.44,(連),0.00,28.75,-0.36,-8.82,9.60,-8.15
2026-08-20,4437,ｇｏｏｄｄａｙｓ　ＨＬＤＧ,東G,787,+27.0 (+3.55%) ,1.49,8.86,18.3,0.00,67.27,41.46,(連),0.64,,,,,
2026-08-20,4438,Ｗｅｌｂｙ,東G,262,+2.0 (+0.77%) ,,,,,,,,,,,,,
2026-08-20,4439,東名,東S,772,+8.0 (+1.05%) ,2.36,9.49,27.9,0.00,40.90,58.94,(連),1.23,,,,,
2026-08-20,443A,ｉＦ　ＥＴＦ東証ＲＥＩＴ　指数,東ETF,"1,862",+15.0 (+0.81%) ,,,,,,,,,,,,,
2026-08-20,4440,ヴィッツ,東S,"1,194",+31.0 (+2.67%) ,1.69,11.21,16.1,0.00,69.45,69.37,(連),1.26,,,,,
2026-08-20,4441,トビラシステムズ,東S,"1,501",+56.0 (+3.88%) ,5.84,24.37,24.8,0.00,9.41,48.22,(単),1.42,,,,,
2026-08-20,4442,バルテス・ＨＬＤＧ,東G,405,+4.0 (+1.00%) ,2.21,14.01,16.7,0.00,-2.44,53.93,(連),0.99,30.80,2.01,7.78,7.78,10.58
2026-08-20,4443,Ｓａｎｓａｎ,東P,"2,220",+196.0 (+9.68%) ,,,,,,,,,72.71,0.86,0.08,15.32,21.81
2026-08-20,4444,インフォネット,東G,952,+2.0 (+0.21%) ,,,,,,,,,,,,,
2026-08-20,4445,リビン・テクノロジーズ,東G,"1,842",-5.0 (-0.27%) ,2.79,15.61,19.3,0.00,126.32,51.54,(連),0.00,,,,,
2026-08-20,4446,Ｌｉｎｋ−Ｕグループ,東S,869,+31.0 (+3.70%) ,,,,,,,,,,,,,
2026-08-20,4447,ピー・ビーシステムズ,東G,499,+5.0 (+1.01%) ,2.52,35.34,6.6,0.00,-64.92,63.33,(単),4.01,,,,,
2026-08-20,4448,ｋｕｂｅｌｌ,東G,366,+11.0 (+3.10%) ,,,,,,,,,,,,,
2026-08-20,444A,アイテル,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,4450,パワーソリューションズ,東G,"2,226",+14.0 (+0.63%) ,1.95,17.46,11.5,0.00,36.77,54.59,(連),1.12,,,,,
2026-08-20,4452,花王,東P,"3,553",+70.0 (+2.01%) ,3.02,27.30,11.3,44.03,12.46,56.75,(連),2.17,153.75,1.27,0.15,3.57,4.59
2026-08-20,445A,東洋,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,4461,第一工業製薬,東P,"13,420",-110.0 (-0.81%) ,2.74,22.13,13.6,29.96,80.79,45.25,(連),1.12,669.10,1.94,7.48,49.35,8.35
